PHARMACOLOGICAL_CLASS,DRUG_NAME,GENERIC_NAME,COMBINED_NAME,BENEFICIARY_COUNT,PRESCRIBER_COUNT,TOTAL_CLAIM_COUNT, TOTAL_DRUG_COST 
EMOLLIENTS,AMMONIUM LACTATE,AMMONIUM LACTATE,AMMONIUM LACTATE : AMMONIUM LACTATE,340546,77925,777046,16692234
"ANTIACNE AGENTS,SYSTEMIC",AMNESTEEM,ISOTRETINOIN,AMNESTEEM : ISOTRETINOIN,598,584,1647,676586
"ANTIBIOTICS, PENICILLINS/AMINO DERIVATIVES",AMOX TR-POTASSIUM CLAVULANATE,AMOXICILLIN/POTASSIUM CLAV,AMOX TR-POTASSIUM CLAVULANATE : AMOXICILLIN/POTASSIUM CLAV,2531797,457524,3331197,74708559
ANTIDEPRESSANTS / TCA,AMOXAPINE,AMOXAPINE,AMOXAPINE : AMOXAPINE,2186,2348,14285,751151
"ANTIBIOTICS, PENICILLINS/AMINO DERIVATIVES",AMOXICILLIN,AMOXICILLIN,AMOXICILLIN : AMOXICILLIN,4067043,547851,5825356,32652963
"ANTIBIOTICS, PENICILLINS/AMINO DERIVATIVES",AMOXICILLIN-CLAVULANATE ER,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN-CLAVULANATE ER : AMOXICILLIN/POTASSIUM CLAV,27268,16281,33480,3277374
AMPHETAMINES,AMPHETAMINE SALT COMBO,DEXTROAMPHETAMINE/AMPHETAMINE,AMPHETAMINE SALT COMBO : DEXTROAMPHETAMINE/AMPHETAMINE,112787,68625,758627,56942330
ANTIFUNGALS,AMPHOTERICIN B,AMPHOTERICIN B,AMPHOTERICIN B : AMPHOTERICIN B,916,639,2098,501724
"ANTIBIOTICS, PENICILLINS/AMINO DERIVATIVES",AMPICILLIN SODIUM,AMPICILLIN SODIUM,AMPICILLIN SODIUM : AMPICILLIN SODIUM,1828,1696,7879,1551399
"ANTIBIOTICS, PENICILLINS/AMINO DERIVATIVES",AMPICILLIN TRIHYDRATE,AMPICILLIN TRIHYDRATE,AMPICILLIN TRIHYDRATE : AMPICILLIN TRIHYDRATE,126581,59333,178508,1292170
"ANTIBIOTICS, PENICILLINS/AMINO DERIVATIVES",AMPICILLIN-SULBACTAM,AMPICILLIN SODIUM/SULBACTAM NA,AMPICILLIN-SULBACTAM : AMPICILLIN SODIUM/SULBACTAM NA,2539,2213,9846,1294515
"MUSCULOSKELETAL AGENTS,OTHER",AMPYRA,DALFAMPRIDINE,AMPYRA : DALFAMPRIDINE,8904,3705,55758,98939770
SKELETAL MUSCLE RELAXANTS,AMRIX,CYCLOBENZAPRINE HCL,AMRIX : CYCLOBENZAPRINE HCL,2245,2037,6578,5187862
ANTIHYPERTENSIVE COMBINATIONS,AMTURNIDE,ALISKIREN/AMLODIPIN/HCTHIAZIDE,AMTURNIDE : ALISKIREN/AMLODIPIN/HCTHIAZIDE,463,494,2692,424078
ANDROGENS/ANABOLICS,ANADROL-50,OXYMETHOLONE,ANADROL-50 : OXYMETHOLONE,69,54,357,640892
ANTIDEPRESSANTS / TCA,ANAFRANIL,CLOMIPRAMINE HCL,ANAFRANIL : CLOMIPRAMINE HCL,93,105,549,733680
BLOOD FORMATION PRODUCTS,ANAGRELIDE HCL,ANAGRELIDE HCL,ANAGRELIDE HCL : ANAGRELIDE HCL,8385,6786,48996,6508270
HEMORRHOIDAL PREPARATIONS WITH STEROID,ANALPRAM HC,HYDROCORTISONE/PRAMOXINE,ANALPRAM HC : HYDROCORTISONE/PRAMOXINE,129,129,167,21232
"NONSALICYLATE NSAIS,ANTIRHEUMATIC",ANAPROX,NAPROXEN SODIUM,ANAPROX : NAPROXEN SODIUM,14,16,40,9402
"NONSALICYLATE NSAIS,ANTIRHEUMATIC",ANAPROX DS,NAPROXEN SODIUM,ANAPROX DS : NAPROXEN SODIUM,92,104,277,92206
PARASYMPATHOLYTICS,ANASPAZ,HYOSCYAMINE SULFATE,ANASPAZ : HYOSCYAMINE SULFATE,1160,1103,2073,32203
"ANTINEOPLASTIC,OTHER",ANASTROZOLE,ANASTROZOLE,ANASTROZOLE : ANASTROZOLE,212100,53495,1133719,42104412
ANTIFUNGALS,ANCOBON,FLUCYTOSINE,ANCOBON : FLUCYTOSINE,12,12,43,506870
ANDROGENS/ANABOLICS,ANDRODERM,TESTOSTERONE,ANDRODERM : TESTOSTERONE,14145,12990,45656,18792023
ANDROGENS/ANABOLICS,ANDROGEL,TESTOSTERONE,ANDROGEL : TESTOSTERONE,164382,78576,605442,307847366
ANDROGENS/ANABOLICS,ANDROID,METHYLTESTOSTERONE,ANDROID : METHYLTESTOSTERONE,186,187,605,734807
ANDROGENS/ANABOLICS,ANDROXY,FLUOXYMESTERONE,ANDROXY : FLUOXYMESTERONE,553,547,2328,600241
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",ANGELIQ,DROSPIRENONE/ESTRADIOL,ANGELIQ : DROSPIRENONE/ESTRADIOL,345,357,1559,204219
HERBS/ALTERNATIVE THERAPIES,ANIMI-3,OM-3/DHA/EPA/D3/B12/FA/B-6/PHY,ANIMI-3 : OM-3/DHA/EPA/D3/B12/FA/B-6/PHY,40,30,56,4820
HERBS/ALTERNATIVE THERAPIES,ANIMI-3 WITH VITAMIN D,OM-3/DHA/EPA/D3/B12/FA/B-6/PHY,ANIMI-3 WITH VITAMIN D : OM-3/DHA/EPA/D3/B12/FA/B-6/PHY,71,54,174,12948
ALCOHOL DETERRENTS,ANTABUSE,DISULFIRAM,ANTABUSE : DISULFIRAM,376,406,911,172615
ANTILIPEMIC AGENTS,ANTARA,"FENOFIBRATE,MICRONIZED","ANTARA : FENOFIBRATE,MICRONIZED",10499,7763,35276," $9,034,950.00 "
"ANALGESICS,TOPICAL OTIC",ANTIPYRINE-BENZOCAINE,ANTIPYRINE/BENZOCAINE/GLYCERIN,ANTIPYRINE-BENZOCAINE : ANTIPYRINE/BENZOCAINE/GLYCERIN,34399,23402,39570,438921
ANTIVERTIGO AGENTS,ANTIVERT,MECLIZINE HCL,ANTIVERT : MECLIZINE HCL,36,36,51,1658
"ANTI-INFLAMMATORY,TOPICAL",ANUSOL-HC,HYDROCORTISONE,ANUSOL-HC : HYDROCORTISONE,564,546,888,69493
ANTIEMETICS,ANZEMET,DOLASETRON MESYLATE,ANZEMET : DOLASETRON MESYLATE,77,65,322,524658
"ANTI-INFLAMMATORY,TOPICAL",APEXICON E,DIFLORASONE DIACETATE/EMOLL,APEXICON E : DIFLORASONE DIACETATE/EMOLL,1647,1342,2571,850112
INSULIN,APIDRA,INSULIN GLULISINE,APIDRA : INSULIN GLULISINE,13987,11499,53899,15731854
INSULIN,APIDRA SOLOSTAR,INSULIN GLULISINE,APIDRA SOLOSTAR : INSULIN GLULISINE,17513,13044,51992,18607274
"ANTIDEPRESSANTS,OTHER",APLENZIN,BUPROPION HBR,APLENZIN : BUPROPION HBR,747,765,4235,3365844
ANTIPARKINSON AGENTS,APOKYN,APOMORPHINE HCL,APOKYN : APOMORPHINE HCL,545,322,1473,33450936
"OPHTHALMICS,OTHER",APRACLONIDINE HCL,APRACLONIDINE HCL,APRACLONIDINE HCL : APRACLONIDINE HCL,1759,1241,5378,551491
CONTRACEPTIVES/WOMANS HEALTH ,APRI,DESOGESTREL-ETHINYL ESTRADIOL,APRI : DESOGESTREL-ETHINYL ESTRADIOL,2243,2490,13424,347317
"GASTRIC MEDICATIONS,OTHER",GIAZO,BALSALAZIDE DISODIUM,GIAZO : BALSALAZIDE DISODIUM,25,27,66,43266
ANTIVIRALS,APTIVUS,TIPRANAVIR,APTIVUS : TIPRANAVIR,395,428,3476,4249577
ANTIVIRALS,APTIVUS,TIPRANAVIR/VITAMIN E TPGS,APTIVUS : TIPRANAVIR/VITAMIN E TPGS,NaN,NaN,19,23068
"RESPIRATORY AGENTS,OTHER",ARALAST NP,ALPHA-1-PROTEINASE INHIBITOR,ARALAST NP : ALPHA-1-PROTEINASE INHIBITOR,282,278,4080,27980888
CONTRACEPTIVES/WOMANS HEALTH ,ARANELLE,NORETHINDRONE-ETHINYL ESTRAD,ARANELLE : NORETHINDRONE-ETHINYL ESTRAD,77,86,434,15492
BLOOD FORMATION PRODUCTS,ARANESP,DARBEPOETIN ALFA IN POLYSORBAT,ARANESP : DARBEPOETIN ALFA IN POLYSORBAT,12630,8507,58902,65380358
"ANTIRHEUMATICS,OTHER",ARAVA,LEFLUNOMIDE,ARAVA : LEFLUNOMIDE,330,343,1507,1790736
"ANTIHISTAMINES,ETHANOLAMINE",ARBINOXA,CARBINOXAMINE MALEATE,ARBINOXA : CARBINOXAMINE MALEATE,490,242,855,35427
IMMUNE SUPPRESSANTS,ARCALYST,RILONACEPT,ARCALYST : RILONACEPT,14,13,99,2244872
"BRONCHODILATORS,SYMPATHOMIMETIC,INHALATION",ARCAPTA NEOHALER,INDACATEROL MALEATE,ARCAPTA NEOHALER : INDACATEROL MALEATE,3388,1696,11745,2614764
"DENTAL AND ORAL AGENTS,TOPICAL,OTHER",ARESTIN,MINOCYCLINE HCL MICROSPHERES,ARESTIN : MINOCYCLINE HCL MICROSPHERES,4206,1965,4329,4338117
"CNS MEDICATIONS,OTHER",ARICEPT,DONEPEZIL HCL,ARICEPT : DONEPEZIL HCL,33944,24344,183454,61527844
"CNS MEDICATIONS,OTHER",ARICEPT ODT,DONEPEZIL HCL,ARICEPT ODT : DONEPEZIL HCL,124,115,306,107449
"ANTINEOPLASTIC,OTHER",ARIMIDEX,ANASTROZOLE,ARIMIDEX : ANASTROZOLE,2027,1958,9417,5820438
GLUCOCORTICOIDS,ARISTOSPAN,TRIAMCINOLONE HEXACETONIDE,ARISTOSPAN : TRIAMCINOLONE HEXACETONIDE,52,21,83,4914
ANTICOAGULANTS,ARIXTRA,FONDAPARINUX SODIUM,ARIXTRA : FONDAPARINUX SODIUM,859,893,2517,6406301
THYROID SUPPLEMENTS,ARMOUR THYROID,"THYROID,PORK","ARMOUR THYROID : THYROID,PORK",45946,31779,190314,2076710
"ANTINEOPLASTIC,OTHER",AROMASIN,EXEMESTANE,AROMASIN : EXEMESTANE,1140,1101,5286,3276808
"MUSCULOSKELETAL AGENTS,OTHER",ARTHROTEC 50,DICLOFENAC SODIUM/MISOPROSTOL,ARTHROTEC 50 : DICLOFENAC SODIUM/MISOPROSTOL,2298,2322,7204,1729071
"MUSCULOSKELETAL AGENTS,OTHER",ARTHROTEC 75,DICLOFENAC SODIUM/MISOPROSTOL,ARTHROTEC 75 : DICLOFENAC SODIUM/MISOPROSTOL,5142,5007,17715,4444311
"GASTRIC MEDICATIONS,OTHER",CARBAGLU,CARGLUMIC ACID,CARBAGLU : CARGLUMIC ACID,NaN,NaN,24,1427208
GASTRIC MEDICATIONS/PPI,DEXILANT,DEXLANSOPRAZOLE,DEXILANT : DEXLANSOPRAZOLE,311097,108939,1549881,301835157
OPIOID ANALGESICS,ASCOMP WITH CODEINE,CODEINE/BUTALBITAL/ASA/CAFFEIN,ASCOMP WITH CODEINE : CODEINE/BUTALBITAL/ASA/CAFFEIN,7348,7682,30065,1770685
"ANTI-INFLAMMATORIES,INHALATION",ASMANEX,MOMETASONE FUROATE,ASMANEX : MOMETASONE FUROATE,72817,44185,253849,55130660
"ANTIHISTAMINES,NASAL",ASTELIN,AZELASTINE HCL,ASTELIN : AZELASTINE HCL,1862,1785,4012,650591
"ANTIHISTAMINES,NASAL",ASTEPRO,AZELASTINE HCL,ASTEPRO : AZELASTINE HCL,82439,34547,180444,26062956
ANGIOTENSIN II INHIBITOR,ATACAND,CANDESARTAN CILEXETIL,ATACAND : CANDESARTAN CILEXETIL,30116,25598,104965,16904833
ANTIHYPERTENSIVE COMBINATIONS,ATACAND HCT,CANDESARTAN/HYDROCHLOROTHIAZID,ATACAND HCT : CANDESARTAN/HYDROCHLOROTHIAZID,3898,3885,14454,2598211
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",ATELVIA,RISEDRONATE SODIUM,ATELVIA : RISEDRONATE SODIUM,49822,16742,233068,41973706
BETA BLOCKERS/RELATED,ATENOLOL,ATENOLOL,ATENOLOL : ATENOLOL,2626033,319916,13920836,104699176
ANTIHYPERTENSIVE COMBINATIONS,ATENOLOL-CHLORTHALIDONE,ATENOLOL/CHLORTHALIDONE,ATENOLOL-CHLORTHALIDONE : ATENOLOL/CHLORTHALIDONE,148874,77381,766492,7150565
BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,ATIVAN,LORAZEPAM,ATIVAN : LORAZEPAM,3704,4069,15286,7446238
ANTILIPEMIC AGENTS/STATIN,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM : ATORVASTATIN CALCIUM,5345756,390105,26672349," $910,768,027.00 "
"ANTIBIOTICS, ANTIMALARIALS",ATOVAQUONE-PROGUANIL HCL,ATOVAQUONE/PROGUANIL HCL,ATOVAQUONE-PROGUANIL HCL : ATOVAQUONE/PROGUANIL HCL,34132,13238,36971,5533011
"ANTIACNE AGENTS,TOPICAL",ATRALIN,TRETINOIN,ATRALIN : TRETINOIN,905,693,1405,440853
ANTIVIRALS,ATRIPLA,EFAVIRENZ/EMTRICITAB/TENOFOVIR,ATRIPLA : EFAVIRENZ/EMTRICITAB/TENOFOVIR,29585,11630,264284,529149208
"MYDRIATICS/CYCLOPLEGICS,TOPICAL OPHTHALMIC",ATROPINE CARE,ATROPINE SULFATE,ATROPINE CARE : ATROPINE SULFATE,1891,1353,2550,44397
PARASYMPATHOLYTICS,ATROPINE SULFATE,ATROPINE SULFATE,ATROPINE SULFATE : ATROPINE SULFATE,39959,18921,61240,1225119
PARASYMPATHOLYTICS,ATROPINE SULFATE,ATROPINE SULFATE/PF,ATROPINE SULFATE : ATROPINE SULFATE/PF,56,55,74,810
"NASAL AND THROAT,TOPICAL,OTHER",ATROVENT,IPRATROPIUM BROMIDE,ATROVENT : IPRATROPIUM BROMIDE,375,378,917,124438
"BRONCHODILATORS,ANTICHOLINERGIC",ATROVENT HFA,IPRATROPIUM BROMIDE,ATROVENT HFA : IPRATROPIUM BROMIDE,115676,78537,386476,106666587
"MUSCULOSKELETAL AGENTS,OTHER",AUBAGIO,TERIFLUNOMIDE,AUBAGIO : TERIFLUNOMIDE,2987,1377,15139,65024386
"ANTIBIOTICS, PENICILLINS/AMINO DERIVATIVES",AUGMENTIN,AMOXICILLIN/POTASSIUM CLAV,AUGMENTIN : AMOXICILLIN/POTASSIUM CLAV,558,589,823,191961
"ANTIBIOTICS, PENICILLINS/AMINO DERIVATIVES",AUGMENTIN XR,AMOXICILLIN/POTASSIUM CLAV,AUGMENTIN XR : AMOXICILLIN/POTASSIUM CLAV,76,86,148,44590
"ANALGESICS,TOPICAL OTIC",AURAX,ANTIPYRINE/BENZOCAINE,AURAX : ANTIPYRINE/BENZOCAINE,48,48,48,7930
"ANALGESICS,TOPICAL OTIC",AURODEX,ANTIPYRINE/BENZOCAINE/GLYCERIN,AURODEX : ANTIPYRINE/BENZOCAINE/GLYCERIN,25,25,33,379
"ANALGESICS,TOPICAL OTIC",AUROGUARD,ANTIPYRINE/BENZOCAINE/GLYCERIN,AUROGUARD : ANTIPYRINE/BENZOCAINE/GLYCERIN,164,149,172,1982
SYMPATHOMIMETICS (ADRENERGICS),AUVI-Q,EPINEPHRINE,AUVI-Q : EPINEPHRINE,3372,2427,3619,990621
ANTIHYPERTENSIVE COMBINATIONS,AVALIDE,IRBESARTAN/HYDROCHLOROTHIAZIDE,AVALIDE : IRBESARTAN/HYDROCHLOROTHIAZIDE,3408,3525,12555,2266612
"ORAL HYPOGLYCEMIC AGENTS,ORAL",AVANDAMET,ROSIGLITAZONE/METFORMIN HCL,AVANDAMET : ROSIGLITAZONE/METFORMIN HCL,129,102,564,216336
"ORAL HYPOGLYCEMIC AGENTS,ORAL",AVANDARYL,ROSIGLITAZONE/GLIMEPIRIDE,AVANDARYL : ROSIGLITAZONE/GLIMEPIRIDE,25,26,129,38099
"ORAL HYPOGLYCEMIC AGENTS,ORAL",AVANDIA,ROSIGLITAZONE MALEATE,AVANDIA : ROSIGLITAZONE MALEATE,382,304,1859,614703
ANGIOTENSIN II INHIBITOR,AVAPRO,IRBESARTAN,AVAPRO : IRBESARTAN,11963,11560,46290,7157806
"KERATOLYTICS/CAUSTICS,TOPICAL",AVAR-E,SULFACETAMIDE SODIUM/SULFUR,AVAR-E : SULFACETAMIDE SODIUM/SULFUR,14,14,17,3837
"KERATOLYTICS/CAUSTICS,TOPICAL",AVAR-E LS,SULFACETAMIDE SODIUM/SULFUR,AVAR-E LS : SULFACETAMIDE SODIUM/SULFUR,11,11,14,4052
"ANTINEOPLASTIC,OTHER",AVASTIN,BEVACIZUMAB,AVASTIN : BEVACIZUMAB,831,388,3727,18532136
"ANTIBIOTICS, VAGINAL",AVC,SULFANILAMIDE,AVC : SULFANILAMIDE,288,267,424,70263
"ANTIBIOTICS, QUINOLONES",AVELOX,MOXIFLOXACIN HCL,AVELOX : MOXIFLOXACIN HCL,272331,103789,345513,63925715
"ANTIBIOTICS, QUINOLONES",AVELOX ABC PACK,MOXIFLOXACIN HCL,AVELOX ABC PACK : MOXIFLOXACIN HCL,5229,4468,6242,1153276
"ANTIBIOTICS, QUINOLONES",AVELOX IV,MOXIFLOXACIN IN NACL (ISO-OSM),AVELOX IV : MOXIFLOXACIN IN NACL (ISO-OSM),702,562,1303,236689
CONTRACEPTIVES/WOMANS HEALTH ,AVIANE,LEVONORGESTREL-ETH ESTRADIOL,AVIANE : LEVONORGESTREL-ETH ESTRADIOL,2414,2669,12871,342986
OPIOID ANALGESICS,AVINZA,MORPHINE SULFATE,AVINZA : MORPHINE SULFATE,6830,7696,53116,25615522
"ANTIACNE AGENTS,TOPICAL",AVITA,TRETINOIN,AVITA : TRETINOIN,80,82,132,9464
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",AVODART,DUTASTERIDE,AVODART : DUTASTERIDE,293723,103209,1597133,304093064
IMMUNE STIMULANTS,AVONEX,INTERFERON BETA-1A,AVONEX : INTERFERON BETA-1A,9983,6443,80328,366776627
IMMUNE STIMULANTS,AVONEX ADMINISTRATION PACK,INTERFERON BETA-1A/ALBUMIN,AVONEX ADMINISTRATION PACK : INTERFERON BETA-1A/ALBUMIN,1225,1202,8484,38357936
IMMUNE STIMULANTS,AVONEX PEN,INTERFERON BETA-1A,AVONEX PEN : INTERFERON BETA-1A,6036,3531,42047,196850192
ANTIMIGRAINE AGENTS,AXERT,ALMOTRIPTAN MALATE,AXERT : ALMOTRIPTAN MALATE,1583,1693,5990,2328517
"GASTRIC MEDICATIONS, H2 ANTAGONISTS",AXID,NIZATIDINE,AXID : NIZATIDINE,NaN,NaN,16,9368
ANDROGENS/ANABOLICS,AXIRON,TESTOSTERONE,AXIRON : TESTOSTERONE,10367,8123,25846,11710145
HERBS/ALTERNATIVE THERAPIES,AXONA,"NUT.TX, METAB.DIS, MV & MIN #2","AXONA : NUT.TX, METAB.DIS, MV & MIN #2",1425,1171,4056,403890
PROGESTINS,AYGESTIN,NORETHINDRONE ACETATE,AYGESTIN : NORETHINDRONE ACETATE,35,39,92,11034
"ANTINEOPLASTICS,ANTIMETABOLITES",AZACITIDINE,AZACITIDINE,AZACITIDINE : AZACITIDINE,30,25,65,308710
"ANTIBIOTICS, PENICILLINS/AMINO DERIVATIVES",MOXATAG,AMOXICILLIN,MOXATAG : AMOXICILLIN,76,67,117,28363
"ANTIBIOTICS, PENICILLIN/CEPHALOSPORIN 1ST GENERATION",CEFADROXIL,CEFADROXIL HYDRATE,CEFADROXIL : CEFADROXIL HYDRATE,160453,35512,207285,3697112
IMMUNE SUPPRESSANTS,AZASAN,AZATHIOPRINE,AZASAN : AZATHIOPRINE,542,568,2394,671237
"ANTIBIOTICS, PENICILLINS/AMINO DERIVATIVES",UNASYN,AMPICILLIN SODIUM/SULBACTAM NA,UNASYN : AMPICILLIN SODIUM/SULBACTAM NA,194,199,623,189261
IMMUNE SUPPRESSANTS,AZATHIOPRINE,AZATHIOPRINE,AZATHIOPRINE : AZATHIOPRINE,68901,40898,374723,11108214
"OPHTHALMICS,OTHER",AZELASTINE HCL,AZELASTINE HCL,AZELASTINE HCL : AZELASTINE HCL,310878,102497,705029,55466481
"ANTIACNE AGENTS,TOPICAL",AZELEX,AZELAIC ACID,AZELEX : AZELAIC ACID,2335,2041,4316,1287224
ANTIPARKINSON AGENTS,AZILECT,RASAGILINE MESYLATE,AZILECT : RASAGILINE MESYLATE,40755,15457,236609,131196484
"ANTIBIOTICS, PENICILLINS/ANTISTAPHYLOCOCCAL",DICLOXACILLIN SODIUM,DICLOXACILLIN SODIUM,DICLOXACILLIN SODIUM : DICLOXACILLIN SODIUM,42595,23677,59918,1410486
"ANTIGLAUCOMA,OTHER",AZOPT,BRINZOLAMIDE,AZOPT : BRINZOLAMIDE,151502,38072,569336,86694444
ANTIHYPERTENSIVE COMBINATIONS,AZOR,AMLODIPINE BES/OLMESARTAN MED,AZOR : AMLODIPINE BES/OLMESARTAN MED,75188,41502,406666,88692777
"ANTIBIOTICS, PENICILLINS/ANTISTAPHYLOCOCCAL",NAFCILLIN,"NAFCILLIN IN DEXTROSE,ISO-OSM","NAFCILLIN : NAFCILLIN IN DEXTROSE,ISO-OSM",241,234,868,704692
GASTRIC MEDICATIONS/PPI,NEXIUM,ESOMEPRAZOLE MAGNESIUM,NEXIUM : ESOMEPRAZOLE MAGNESIUM,1484011,294246,8192362,2526306069
CONTRACEPTIVES/WOMANS HEALTH ,AZURETTE,DESOG-E.ESTRADIOL/E.ESTRADIOL,AZURETTE : DESOG-E.ESTRADIOL/E.ESTRADIOL,810,923,4278,222298
MEDICAL SUPPLY,B-D SINGLE USE ALCOHOL SWAB,ALCOHOL ANTISEPTIC PADS,B-D SINGLE USE ALCOHOL SWAB : ALCOHOL ANTISEPTIC PADS,165,130,576,2202
"VITAMIN COMBINATIONS,OTHER",B-NEXA,PNV/FA/B6/CALCIUM PHOS/GINGER,B-NEXA : PNV/FA/B6/CALCIUM PHOS/GINGER,17,15,29,1802
"VITAMIN COMBINATIONS,OTHER",B-PLEX PLUS,"MULTIVITS,THERAP W-FE,HEMATIN","B-PLEX PLUS : MULTIVITS,THERAP W-FE,HEMATIN",12,12,28,85
"ANTIBIOTICS, OTHER",BACIIM,BACITRACIN,BACIIM : BACITRACIN,NaN,NaN,65,3523
"ANTIBACTERIAL,TOPICAL",BACITRACIN,BACITRACIN,BACITRACIN : BACITRACIN,82348,26098,124815,7570695
"ANTIBACTERIAL,TOPICAL",BACITRACIN-POLYMYXIN,BACITRACIN/POLYMYXIN B SULFATE,BACITRACIN-POLYMYXIN : BACITRACIN/POLYMYXIN B SULFATE,25498,12007,35503,828751
SKELETAL MUSCLE RELAXANTS,BACLOFEN,BACLOFEN,BACLOFEN : BACLOFEN,630565,185068,2752359,37518778
"VITAMIN COMBINATIONS,OTHER",BACMIN,"MULTIVIT, MIN CMB#20/IRON/FA","BACMIN : MULTIVIT, MIN CMB#20/IRON/FA",210,176,1078,18127
"ANTIBIOTICS, SULFONAMIDE/RELATED ",BACTRIM,SULFAMETHOXAZOLE/TRIMETHOPRIM,BACTRIM : SULFAMETHOXAZOLE/TRIMETHOPRIM,43,44,91,6240
"ANTIBIOTICS, SULFONAMIDE/RELATED ",BACTRIM DS,SULFAMETHOXAZOLE/TRIMETHOPRIM,BACTRIM DS : SULFAMETHOXAZOLE/TRIMETHOPRIM,604,639,924,65630
"ANTIBACTERIAL,TOPICAL",BACTROBAN,MUPIROCIN,BACTROBAN : MUPIROCIN,565,563,954,122518
"ANTIBACTERIAL,TOPICAL",BACTROBAN,MUPIROCIN CALCIUM,BACTROBAN : MUPIROCIN CALCIUM,18610,15269,25976,3058344
"NASAL AND THROAT,TOPICAL,OTHER",BACTROBAN NASAL,MUPIROCIN CALCIUM,BACTROBAN NASAL : MUPIROCIN CALCIUM,21011,14412,25319,3288200
"VITAMIN COMBINATIONS,OTHER",BAL-CARE DHA,PNV81/SOD IRON EDTA& PS/FA/OM3,BAL-CARE DHA : PNV81/SOD IRON EDTA& PS/FA/OM3,NaN,NaN,18,1795
GASTRIC MEDICATIONS/PPI,NEXIUM I.V.,ESOMEPRAZOLE SODIUM,NEXIUM I.V. : ESOMEPRAZOLE SODIUM,71,80,726,319456
CONTRACEPTIVES/WOMANS HEALTH ,BALZIVA,NORETHINDRONE-ETHINYL ESTRAD,BALZIVA : NORETHINDRONE-ETHINYL ESTRAD,687,783,4181,144478
ANTICONVULSANTS,BANZEL,RUFINAMIDE,BANZEL : RUFINAMIDE,1843,1571,19191,26222670
ANTIVIRALS,BARACLUDE,ENTECAVIR,BARACLUDE : ENTECAVIR,7852,5969,58691,67371799
VACCINES,BCG VACCINE (TICE STRAIN),BCG LIVE,BCG VACCINE (TICE STRAIN) : BCG LIVE,314,172,502,272149
VACCINES,BCG VACCINE (TICE STRAIN),"BCG VACCINE, LIVE/PF","BCG VACCINE (TICE STRAIN) : BCG VACCINE, LIVE/PF",28,25,34,11855
MEDICAL SUPPLY,BD INSULIN SYRINGE,"SYRINGE & NEEDLE,INSULIN,1 ML","BD INSULIN SYRINGE : SYRINGE & NEEDLE,INSULIN,1 ML",NaN,NaN,38,614
MEDICAL SUPPLY,BD INSULIN SYRINGE MICRO-FINE,"SYRING W-NDL,DISP,INSUL,0.3ML","BD INSULIN SYRINGE MICRO-FINE : SYRING W-NDL,DISP,INSUL,0.3ML",46,43,125,2282
MEDICAL SUPPLY,BD INSULIN SYRINGE MICRO-FINE,"SYRING W-NDL,DISP,INSUL,0.5ML","BD INSULIN SYRINGE MICRO-FINE : SYRING W-NDL,DISP,INSUL,0.5ML",156,153,375,8470
MEDICAL SUPPLY,BD INSULIN SYRINGE MICRO-FINE,"SYRINGE & NEEDLE,INSULIN,1 ML","BD INSULIN SYRINGE MICRO-FINE : SYRINGE & NEEDLE,INSULIN,1 ML",60,63,165,4209
MEDICAL SUPPLY,BD INSULIN SYRINGE ULT-FINE II,"SYRING W-NDL,DISP,INSUL,0.3ML","BD INSULIN SYRINGE ULT-FINE II : SYRING W-NDL,DISP,INSUL,0.3ML",161,159,393,9730
MEDICAL SUPPLY,BD INSULIN SYRINGE ULT-FINE II,"SYRINGE & NEEDLE,INSULIN,1 ML","BD INSULIN SYRINGE ULT-FINE II : SYRINGE & NEEDLE,INSULIN,1 ML",310,311,708,19277
MEDICAL SUPPLY,BD INSULIN SYRINGE ULTRA-FINE,"SYRING W-NDL,DISP,INSUL,0.3ML","BD INSULIN SYRINGE ULTRA-FINE : SYRING W-NDL,DISP,INSUL,0.3ML",20,20,37,854
MEDICAL SUPPLY,BD ULTRA-FINE PEN NEEDLE,"NEEDLES, INSULIN DISPOSABLE","BD ULTRA-FINE PEN NEEDLE : NEEDLES, INSULIN DISPOSABLE",894277,199969,2770178,116519947
"ANTI-INFLAMMATORIES,INHALATION",BECONASE AQ,BECLOMETHASONE DIPROPIONATE,BECONASE AQ : BECLOMETHASONE DIPROPIONATE,3928,3847,10661,2257852
OPIOID ANALGESICS,BELLADONNA-OPIUM,OPIUM/BELLADONNA ALKALOIDS,BELLADONNA-OPIUM : OPIUM/BELLADONNA ALKALOIDS,535,571,969,560516
CENTRALLY-ACTING APPETITE SUPPRESSANTS,BELVIQ,LORCASERIN HCL,BELVIQ : LORCASERIN HCL,373,335,680,143102
ACE INHIBITORS,BENAZEPRIL HCL,BENAZEPRIL HCL,BENAZEPRIL HCL : BENAZEPRIL HCL,644958,178159,3550028,39148762
